province,2017年,2016年,2015年,2014年
北京,1446,1420,1401,1386
天津,1088,1008,885,797
河北,2120,2056,1944,1833
山西,1178,1158,1123,1097
内蒙古,1269,1242,1225,1185
辽宁,2644,2798,2462,2422
吉林,1452,1426,1399,1363
黑龙江,1820,1810,1772,1785
上海,999,999,999,999
江苏,4427,4299,4189,4020
浙江,2829,2673,2591,2489
安徽,2039,2002,1926,1835
福建,1517,1469,1414,1326
江西,1454,1371,1296,1201
山东,4971,4795,4609,4400
河南,2685,2544,2503,2375
湖北,2341,2249,2197,2078
湖南,1709,1626,1573,1540
广东,5911,5808,5633,5398
广西,1414,1334,1275,1193
海南,324,321,338,303
重庆,1423,1351,1329,1231
四川,2832,2616,2282,2217
贵州,986,845,789,724
云南,1142,1131,1060,977
西藏,148,145,145,126
陕西,1287,1127,1073,968
甘肃,869,870,834,779
青海,200,197,194,166
宁夏,458,442,455,441
新疆,1244,1199,1185,1118
