province,2017年,2016年,2015年,2014年
北京,28014.94,25669.13,23014.59,21330.83
天津,18549.19,17885.39,16538.19,15726.93
河北,34016.32,32070.45,29806.11,29421.15
山西,15528.42,13050.41,12766.49,12761.49
内蒙古,16096.21,18128.1,17831.51,17770.19
辽宁,23409.24,22246.9,28669.02,28626.58
吉林,14944.53,14776.8,14063.13,13803.14
黑龙江,15902.68,15386.09,15083.67,15039.38
上海,30632.99,28178.65,25123.45,23567.7
江苏,85869.76,77388.28,70116.38,65088.32
浙江,51768.26,47251.36,42886.49,40173.03
安徽,27018,24407.62,22005.63,20848.75
福建,32182.09,28810.58,25979.82,24055.76
江西,20006.31,18499,16723.78,15714.63
山东,72634.15,68024.49,63002.33,59426.59
河南,44552.83,40471.79,37002.16,34938.24
湖北,35478.09,32665.38,29550.19,27379.22
湖南,33902.96,31551.37,28902.21,27037.32
广东,89705.23,80854.91,72812.55,67809.85
广西,18523.26,18317.64,16803.12,15672.89
海南,4462.54,4053.2,3702.76,3500.72
重庆,19424.73,17740.59,15717.27,14262.6
四川,36980.22,32934.54,30053.1,28536.66
贵州,13540.83,11776.73,10502.56,9266.39
云南,16376.34,14788.42,13619.17,12814.59
西藏,1310.92,1151.41,1026.39,920.83
陕西,21898.81,19399.59,18021.86,17689.94
甘肃,7459.9,7200.37,6790.32,6836.82
青海,2624.83,2572.49,2417.05,2303.32
宁夏,3443.56,3168.59,2911.77,2752.1
新疆,10881.96,9649.7,9324.8,9273.46
