province,2017年,2016年,2015年,2014年
北京,48.4,48.4,48.4,49.1
天津,36.8,37.2,36.4,34.9
河北,41.8,40.8,41.2,41.9
山西,40.6,40.5,40.1,40.1
内蒙古,40.2,39.9,39.2,39.8
辽宁,40.7,36.4,40.3,40.1
吉林,35.8,35,36.1,35.8
黑龙江,35.5,35.4,35.8,36
上海,39.1,38.6,38.5,38.4
江苏,43,42.9,42.8,42.6
浙江,40.4,41,40.6,40.8
安徽,42.2,41.7,41.2,41.2
福建,43.7,43.3,43,42.8
江西,45.2,43.6,44.1,44.6
山东,42.1,42.3,42.3,42.8
河南,39.4,39.3,37.7,38.3
湖北,38.4,37.6,37.5,37.9
湖南,41.2,40.6,39.7,38.6
广东,43.5,42.4,41.4,41.4
广西,39.1,37.6,37.6,39.3
海南,40.1,40.3,37.7,41.3
重庆,40.3,40.8,40.3,40.6
四川,40,39.9,38.7,37.5
贵州,37,36.8,35.9,34
云南,38.9,37.8,37.3,38.1
西藏,34.8,32.6,42.6,43.8
陕西,39.9,40.1,40.6,40.5
甘肃,33.3,31.5,30.2,30.8
青海,32.6,31.1,29.8,31.6
宁夏,40.4,40.4,37.9,38
新疆,40,38.5,37.5,36.8
